Tweet,Date,Period
A year ago Any progress from the winning candidate 😉 hashtagHalalan2022 hashtagHalalanParaSaKalikasan hashtagPhilippineElections2022,5/5/2022,PRE
Bongbong Marcos Sara Duterte express deepest gratitude to the Iglesia Ni Cristo for their endorsement hashtagHalalan2022 hashtagPhilippines hashtagSara hashtagBBM hashtagIglesiaNiCristo,5/4/2022,PRE
I decide I only vote for BBM ❤️ SARA DUTERTE 💚 PULA ANG PILIPINAS hashtagBringBackMarcos hashtagMarcosDuterte2022 hashtagBBMSaraUNITEAM hashtagWeDecide hashtagPHVote hashtagHalalan2022,5/7/2022,PRE
Mr Bbm and Ms Sara Duterte are obviously will win this hashtagHalalan2022 other candidates are desperate last options is maybe to manipulate the counts on May 9 hopefully hashtagUniteamBBMSara2022 hashtagUNiTeamBBMSARA are enough ready to secure our votes for hashtagUniteamBBMSara2022,5/4/2022,PRE
THE CROWD IS INSANE BBM YOULL FOREVER BE INSANE FOR THIS 600000K still counting PULA ANG PILIPINAS hashtagBringBackMarcos hashtagMarcosDuterte2022 hashtagHalalan2022,5/7/2022,PRE
I am honestly so afraid that we will never see a campaign like that of Leni Robredo again This is purely peoples efforts for that one in a million politician who served and delivered despite being targeted and maligned Do not let this get away hashtagLeniKiko2022 hashtagHalalan2022,5/7/2022,PRE
anyways sharing my senatorial list for those who are asking baguilat colmenares de lima diokno espiritu hontiveros labog alex lacson matula minguita padilla trillanes zubiaga hashtagHalalan2022,5/7/2022,PRE
One symbolic gesture of nationalism and patriotism hashtagPHVote hashtagHalalan2022 hashtagEleksyon2022 hashtagBBMSaraUNITEAM,5/7/2022,PRE
last day of the campaign szn tysm ans for the wallpaper tulip hashtagIpana7oNa10ParaSaLahat hashtagLeniKikoAllTheWay2022 hashtagHalalan2022,5/7/2022,PRE
Praying for clean hashtagHalalan2022,5/7/2022,PRE
Praying also for everyones safety especially mga kasama kong magcocover bukas Ingat po sa lahat ng bahagi ng media,5/7/2022,PRE
please consider these people to be included in your ballots hashtagHalalan2022 hashtagKulayRosasAngBukas hashtagLeniKiko,5/7/2022,PRE
