Tweet,Username,Date
Comelec says there are onsite technicians in precincts in case VCMs encounter problem. #TheFilipinoVotes🇵🇭 | @mrvinceangelo,c_n_h_l_p_i_e_,5/9/2022
"The campaign period already ended on May 7, but candidates' flyers are still being handed out outside the Pasig Elementary School polling place.
A man handing out these materials reasoned out, others are doing it too. #TheFilipinoVotes🇵🇭 | @eimorpsantos",c_n_h_l_p_i_e_,5/9/2022
"Comelec advises the public that all complaints must be verified first: Kapag nagsampa ng complaint, isama niyo na yung ebidensiya... Isama niyo na rin yung testimonya ng mga testigo. #TheFilipinoVotes🇵🇭 | @mrvinceangelo",c_n_h_l_p_i_e_,5/9/2022
The 2022 national elections is proceeding without closure on the four petitions seeking to disqualify former senator Ferdinand 'Bongbong' Marcos Jr. from the presidential race. #TheFilipinoVotes🇵🇭 https://bit.ly/3kUSBlz,c_n_h_l_p_i_e_,5/9/2022
"WATCH: Bongbong Marcos casting his ballot in Batac, Ilocos Norte. #TheFilipinoVotes🇵🇭 | @Lois_Calderon",c_n_h_l_p_i_e_,5/9/2022
"BREAKING: Bongbong Marcos casts his vote at the Mariano Marcos Memorial Elementary School in Batac City, Ilocos Norte. #TheFilipinoVotes🇵🇭
Quote",c_n_h_l_p_i_e_,5/9/2022
"BREAKING: Bongbong Marcos casts his vote at the Mariano Marcos Memorial Elementary School in Batac City, Ilocos Norte. #TheFilipinoVotes🇵🇭 Live updates: http://bit.ly/3N0CKxE",c_n_h_l_p_i_e_,5/9/2022
"Voters lined up early at over 37,000 polling stations today as Filipinos decide on who will lead the country for the next six years. #TheFilipinoVotes🇵🇭",c_n_h_l_p_i_e_,5/9/2022
Presidential candidate Sen. Ping Lacson hopes 'animosity' and 'vicious attacks from supporters' will be set aside after the May 9 elections. He also shares his plans for the rest of the day: Manonood ako ng Netflix. #TheFilipinoVotes🇵🇭,c_n_h_l_p_i_e_,5/9/2022
"UPDATE: Presidential frontrunner Bongbong Marcos Jr. arrives at the Mariano Marcos Memorial Elementary School in Batac, Ilocos Norte to cast his vote.
He is with his son Sandro, who is seeking to unseat Ria Fariñas as Ilocos Norte 1st district representative. #TheFilipinoVotes🇵🇭",c_n_h_l_p_i_e_,5/9/2022
