Method,Tweet,Username,Dates
Manual,Comelec says there are onsite technicians in precincts in case VCMs encounter problem. #TheFilipinoVotes🇵🇭 | @mrvinceangelo,@cnnphilippines,5/9/2022
Manual,"The campaign period already ended on May 7, but candidates' flyers are still being handed out outside the Pasig Elementary School polling place.
A man handing out these materials reasoned out, others are doing it too. #TheFilipinoVotes🇵🇭 | @eimorpsantos",@cnnphilippines,5/9/2022
Manual,"Comelec advises the public that all complaints must be verified first: Kapag nagsampa ng complaint, isama niyo na yung ebidensiya... Isama niyo na rin yung testimonya ng mga testigo. #TheFilipinoVotes🇵🇭 | @mrvinceangelo",@cnnphilippines,5/9/2022
Manual,The 2022 national elections is proceeding without closure on the four petitions seeking to disqualify former senator Ferdinand 'Bongbong' Marcos Jr. from the presidential race. #TheFilipinoVotes🇵🇭 https://bit.ly/3kUSBlz,@cnnphilippines,5/9/2022
Manual,"WATCH: Bongbong Marcos casting his ballot in Batac, Ilocos Norte. #TheFilipinoVotes🇵🇭 | @Lois_Calderon",@cnnphilippines,5/9/2022
Manual,"BREAKING: Bongbong Marcos casts his vote at the Mariano Marcos Memorial Elementary School in Batac City, Ilocos Norte. #TheFilipinoVotes🇵🇭
Quote",@cnnphilippines,5/9/2022
Manual,"BREAKING: Bongbong Marcos casts his vote at the Mariano Marcos Memorial Elementary School in Batac City, Ilocos Norte. #TheFilipinoVotes🇵🇭 Live updates: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Voters lined up early at over 37,000 polling stations today as Filipinos decide on who will lead the country for the next six years. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,Presidential candidate Sen. Ping Lacson hopes 'animosity' and 'vicious attacks from supporters' will be set aside after the May 9 elections. He also shares his plans for the rest of the day: Manonood ako ng Netflix. #TheFilipinoVotes🇵🇭,@cnnphilippines,5/9/2022
Manual,"UPDATE: Presidential frontrunner Bongbong Marcos Jr. arrives at the Mariano Marcos Memorial Elementary School in Batac, Ilocos Norte to cast his vote.
He is with his son Sandro, who is seeking to unseat Ria Fariñas as Ilocos Norte 1st district representative. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Eurasia Group: If you are choosing to invest in the Philippines and some other countries in the region, corruption is a risk you gonna have to deal with in either those markets. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,Eurasia Group: I think transforming the Philippines' infrastructure will do more than tweaking any law in terms of bolstering foreign investment. #TheFilipinoVotes🇵🇭,@cnnphilippines,5/9/2022
Manual,"UPDATE: Voters were allowed to get in at 6:15pm. But by that time, the crowd was already this thick. #TheFilipinoVotes🇵🇭 | @eimorpsantos",@cnnphilippines,5/9/2022
Manual,"Robrero’s daughters, Aika and Tricia, waiting for their turn to vote at Tabuco Central School in Naga City. Jillian has already voted as OAV. #TheFilipinoVotes🇵🇭 | @anjocalimario
📸 VP Leni Media Bureau",@cnnphilippines,5/9/2022
Manual,"Eurasia Group: What foreign investors will be looking for are signs that the next administration, whether it's under Bongbong Marcos or Vice President Leni Robredo, will continue to push ahead with economic reforms. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"BREAKING: Presidential candidate Sen. Ping Lacson casts his vote at the Bayang Luma 1 Elementary School in Imus, Cavite. #TheFilipinoVotes🇵🇭 Live updates: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"BREAKING: Presidential candidate and Senator Ping Lacson casts his vote at the Bayang Luma 1 Elementary School in Imus, Cavite. #TheFilipinoVotes🇵🇭 Live updates: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
Presidential candidate Sen. Ping Lacson arrives at Bayan Luma Elementary School in Imus, Cavite, to cast his vote. #TheFilipinoVotes🇵🇭 | @GergCahiles",@cnnphilippines,5/9/2022
Manual,"ELECTION UPDATE: Presidential candidate Sen. Ping Lacson arrives at Bayan Luma Elementary School in Imus, Cavite, to cast his vote. #TheFilipinoVotes🇵🇭 | @GergCahiles
Live updates: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @Lois_Calderon
A peek into the polling place, the classroom, where Bongbong Marcos and former first lady Imelda Marcos are expected to cast their votes any minute now. #TheFilipinoVotes🇵🇭 | @Lois_Calderon",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @CarolynBonquin
Among the early voters here in Cebu City are senior citizens, persons with disability, and first-time voters. A number of first-time voters tell us they’re willing to bear the long queue just to be able to vote for their future. #TheFilipinoVotes🇵🇭 | @CarolynBonquin",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
@MannyPacquiao
and @xianneangel
Voters have started lining up at Kiamba Central Elementary School in Sarangani as voting starts. #TheFilipinoVotes🇵🇭 | @xianneangel",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @Lois_Calderon
School grounds are cordoned off from non-voters. Foreign and local journalists are boxed out.
Security extends within a 30-40 meter perimeter, local police told us. #TheFilipinoVotes🇵🇭 | @Lois_Calderon
Live blog: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @TristanNodalo
Senior citizens waiting in line to cast their votes.
“Mahirap lang para sa amin kasi nasa pinakataas pa ang presinto namin,” an elderly voter tells @TristanNodalo
. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Voters start to trickle in at the Mariano Marcos Memorial Elementary School as voting precincts open at 6am.
Almost 6,500 Ilocanos are expected to cast their ballots here, including presidential bet Bongbong Marcos and his mother Imelda. #TheFilipinoVotes🇵🇭 | @Lois_Calderon",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @PaigeJavier
Voters continue to trickle in here at the Santa Cruz Central Elementary School. Each room is allowed a maximum of 10 voters at a time. #TheFilipinoVotes🇵🇭 | @PaigeJavier",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @TristanNodalo
Voters in Quezon City now checking their precinct assignments. #TheFilipinoVotes🇵🇭 | @TristanNodalo",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @davidyusantos
Volunteers from the @PPCRV
here in Davao City man the voter assistance desk — offering a digital option to identify polling precinct assignments. Policemen also help out voters, especially the elderly, on the directions to the polling centers. #TheFilipinoVotes🇵🇭 | @davidyusantos",@cnnphilippines,5/9/2022
Manual,"LOOK: BBM-Sara UniTeam booth near Pedro P. Cruz Elementary School in Mandaluyong City on voting day. #TheFilipinoVotes🇵🇭 | @RexRemitio
Live blog: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
Comelec: As of 5am, 99.95% ang readiness ng ating vote counting machines. Meron lang pong dalawa na wala pong test ballots pero right now, alam namin na nagfa-function na sila. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @eimorpsantos
WATCH: Voters at the Pasig Elementary School complain as the polling place remains closed. Guards here announce they are still waiting for a go signal, since some poll watchers have yet to arrive. #TheFilipinoVotes🇵🇭 | @eimorpsantos
Live blog: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
Comelec assures that all precincts nationwide are manned by trained election watchers. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @davidyusantos
Voters trickling in as polls open at 6am here in Davao City. After going through temperature check, voters check their names and polling precinct assignments on the lists posted in one of the school buildings. #TheFilipinoVotes🇵🇭 | @davidyusantos",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @meltlopez
Comelec assures public: Sisiguraduhin po naming lahat na ang boto ninyo, ang boto namin po ay mabibilang ng tama at wasto. #TheFilipinoVotes🇵🇭 | @meltlopez",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @anjocalimario
Precincts open at Carangcang Elementary School with only 10 voters allowed at a time inside the classroom. #TheFilipinoVotes🇵🇭 | @anjocalimario",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @GergCahiles
Among the firsts to arrive here is this senior citizen. She was given due courtesy and was the first to cast her vote in this precinct. #TheFilipinoVotes🇵🇭 | @GergCahiles",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
Comelec acting spokesperson John Rex Laudiangco on the Marcos disqualification case: Holiday niya natanggap yung decision. All the commissioners and chairmen had been in depth in the analysis of the case. That's why they decided to promulgate it tomorrow. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @TristanNodalo
WATCH: Voters now allowed to enter Commonwealth Elementary School. This is one of the biggest voting centers in the vote-rich city. #TheFilipinoVotes🇵🇭 | @TristanNodalo",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @GergCahiles
WATCH: The Board of Election Inspectors at Bayan Luma I Elementary School in Imus City unboxing the vote counting machine while poll watchers are observing it. #TheFilipinoVotes🇵🇭 | @GergCahiles",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @pnbarcelonlive
WATCH: 2 minutes before voting starts, senior citizen voters are being allowed entry at the Magat Salamat Elem. School in Manila. Over 31,000 voters are expected to show up here today. #TheFilipinoVotes🇵🇭 | @pnbarcelonlive",@cnnphilippines,5/9/2022
Manual,"Here’s the classroom at Kiamba Central Elementary School in Sarangani where Sen. @MannyPacquiao
will vote today. Ballots, ballot boxes, indelible ink bottles have been laid out for use when voters arrive. #TheFilipinoVotes🇵🇭 | @xianneangel
Live blog: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Good morning, everyone! We're here at Bayan Luma I Elementary School where presidential candidate Sen. Ping Lacson will vote. #TheFilipinoVotes🇵🇭 | @GergCahiles
Live blog: http://bit.ly/3N0CKxE",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
PNP OIC Danao reminds all police personnel to remain apolitical, nonpartisan, and to treat all candidates equally. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
PNP officer-in-charge Vicente Danao Jr. reminds campaign materials cannot be distributed in voting precincts: Bawal na ang campaigning since yesterday. They will be cautioned to stop. If they insist, they will be apprehended. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"THREAD: Philippine National Police holds a press briefing | LIVE https://bit.ly/3N0THIw
Tweets by our digital producer @laratyan
#TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
Kontra Daya says a lot are at stake in this 2022 elections: The protection of human rights, the sovereignty, the quality of leadership in the next six years, and how do we address the pandemic in the new normal. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
and @PaigeJavier
The electoral board is giving final reminders to poll watchers, minutes before voting begins. They’re reminded to follow protocols or they will be asked to leave the precinct. #TheFilipinoVotes🇵🇭 | @PaigeJavier",@cnnphilippines,5/9/2022
Manual,"Good morning from a rainy Davao City!
We'll reporting throughout the day from Daniel R Aguinaldo National High School, where President Rodrigo Duterte and his daughter, vice presidential bet Sara Duterte-Carpio, will be casting their ballots. #TheFilipinoVotes🇵🇭 | @davidyusantos",@cnnphilippines,5/9/2022
Manual,"Filipino voters arrive early at Legarda Elementary School in Sampaloc, Manila to cast their votes this morning. Manila Vice Mayor Honey Lacuna, who is running for city mayor, will also cast her vote in this school later. #TheFilipinoVotes🇵🇭 | @stanleygajete",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
Kontra Daya: It's very important to choose a leader to address this concern. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
Manual,"Replying to @cnnphilippines
Kontra Daya: Please consider this 2022 elections as a matter of survival. We have seen the worse in the past two years with this pandemic. The social protection and the healthcare system, the inadequacies of these have been exposed. #TheFilipinoVotes🇵🇭",@cnnphilippines,5/9/2022
