Tweets,Date,Username,Number of Retweets,Number of Likes
A year ago! Any progress from the winning candidate? 😉 #Halalan2022 #HalalanParaSaKalikasan #PhilippineElections2022,5/5/2022,youth4climatePH,1,1
"Bongbong Marcos, Sara Duterte express deepest gratitude to the Iglesia Ni Cristo for their endorsement. 
#Halalan2022 #Philippines #Sara #BBM #IglesiaNiCristo",5/4/2022,BayanihanToday,22,166
"I decide I only vote for
BBM❤️ SARA DUTERTE💚 

PULA ANG PILIPINAS
#BringBackMarcos
#MarcosDuterte2022
#BBMSaraUNITEAM
 #WeDecide #PHVote #Halalan2022",5/7/2022,pjmscheesecake_,1,1
Mr. Bbm and Ms. Sara Duterte are obviously will win this #Halalan2022 other candidates are desperate last options is maybe to manipulate the counts on May 9 hopefully #UniteamBBMSara2022 #UNiTeamBBMSARA are enough ready to secure our votes for #UniteamBBMSara2022,5/4/2022,Wonderwomanneph,0,0
"THE CROWD IS INSANE. BBM YOULL FOREVER BE INSANE FOR THIS!!!!! 600,000K (still counting)

PULA ANG PILIPINAS
#BringBackMarcos
#MarcosDuterte2022
#Halalan2022",5/7/2022,queen_pinksss,601,2745
"I am honestly so afraid that we will never see a campaign like that of Leni Robredo again. This is purely people’s efforts for that one in a million politician who served and delivered despite being targeted and maligned.

Do not let this get away.

#LeniKiko2022 #Halalan2022",5/7/2022,sosyolohija,7463,33400
"anyways, sharing my senatorial list for those who are asking!!! 

baguilat, colmenares, de lima, diokno, espiritu, hontiveros, labog, alex lacson, matula, minguita padilla, trillanes, zubiaga

#Halalan2022",5/7/2022,beeyotchWP,321,4029
"One symbolic gesture of nationalism and patriotism.
#PHVote #Halalan2022 #Eleksyon2022 #BBMSaraUNITEAM",5/7/2022,malcolm_reddick,69,281
last day of the campaign szn!! tysm ans for the wallpaper🌷 #Ipana7oNa10ParaSaLahat #LeniKikoAllTheWay2022 #Halalan2022,5/7/2022,ayco_exe,6,31
Praying for clean #Halalan2022.,5/7/2022,izelxfernandez,1,9
"Praying also for everyone’s safety, especially mga kasama kong mag-cocover bukas. Ingat po sa lahat ng bahagi ng media!",5/7/2022,izelxfernandez,0,4
please consider these people to be included in your ballots. #Halalan2022 #KulayRosasAngBukas #LeniKiko,5/7/2022,francescaandh,5,7
"Stuck in Calamba for almost 3 hrs now 😭 but I am with you, kapwa ko Pilipino 🌸 

#MakatiIsPink 
#LeniKikoAllTheWay2022
#Ipana7oNa10ParaSaLahat #Halalan2022",5/7/2022,__mafs,1,21
"Last day of campaigning FOR OUR COUNTRY’S HOPE AND FUTURE. Ending this year’s people’s rally being a part of the 780,000+ Filipinos from Makati.

1/2

#Ipana7oNa10ParaSaLahat 
#MakatiIsPink 
#MitingDeAvanceLeniKiko
#Halalan2022
#LeniKiko2022",5/7/2022,robertkaaatz,14,343
"30 mins before 12 mn. 
Lets Vote for our Country.
Lets Vote for what is right. 🌸 #MakatiIsPink  #PilipinasIsPink  #Halalan2022  #LeniKikoMitingDeAvance  #LeniLiwanagSaDilim  #LeniKiko2022AllTheWay  #LeniKiko2022  #HelloPagkainGoodbyeGutom  #GobyernongTapatAngatBuhayLahat",5/7/2022,dpamiscua,3,7
"LOOK: As it starts to get dark in Iloilo City, Ilonggo 'Kakampinks' light their torches for the Kasanag Walk for Leni-Kiko.

#Halalan2022 #PHVote #WeDecide 
@rapplerdotcom
 
@MovePH",5/7/2022,au_rielle,11,28
"LOOK: 23% of 1.6 million voters abroad have cast their ballots as of May 5!

STORY: https://bit.ly/3vRBC9T

#FlyingKetchup #Halalan2022",5/7/2022,FlyingKetchup,1,4
"WATCH: Hundreds of Ilonggo 'Kakampinks' swarm the Iloilo City bike lanes for the Kasanag Walk for Leni-Kiko on the last day of the campaign period today, May 7, 2022.

#Halalan2022 #PHVote #WeDecide | 
@rapplerdotcom
 
@MovePH",5/7/2022,au_rielle,4,17
