:flexed_biceps_mediumlight_skin_tone:,:flexed_biceps:
tulip,:tulip:
:loveyou_gesture:,:love-you_gesture:
:smiling_face_with_hearteyes:,:smiling_face_with_heart-eyes:
:victory_hand_mediumlight_skin_tone:,:victory_hand_medium-light_skin_tone:
:seenoevil_monkey:,:see-no-evil_monkey:
:folded_hands_mediumlight_skin_tone:,:folded_hands_medium-light_skin_tone:
megaphone,:megaphone:
:nail_polish_mediumlight_skin_tone:,:nail_polish_medium-light_skin_tone:
:DepEd_PH:,DepEd_PH
:oncoming_fist_mediumlight_skin_tone:,:oncoming_fist_medium-light_skin_tone:
eagle,:eagle:
:globe_showing_EuropeAfrica:,:globe_showing_Europe-Africa:
:three_oclock:,:three_o'clock:
:globe_showing_AsiaAustralia:,:globe_showing_Asia-Australia:
:upsidedown_face:,:upside-down_face:
:highheeled_shoe:,:high-heeled_shoe:
Philippines,:Philippines:
:tearoff_calendar:,:tear-off_calendar:
:highspeed_train:,:high-speed_train:
:womans_sandal:,:woman's_sandal:
:heart_hands_mediumlight_skin_tone:,:heart_hands_medium-light_skin_tone:
:hand_with_index_finger_and_thumb_crossed_mediumlight_skin_tone:,:hand_with_index_finger_and_thumb_crossed_medium-light_skin_tone:
:writing_hand_mediumlight_skin_tone:,:writing_hand_medium-light_skin_tone:
:folded_hands_mediumdark_skin_tone:,:folded_hands_medium-dark_skin_tone:
:index_pointing_up_mediumlight_skin_tone:,:index_pointing_up_medium-light_skin_tone:
:thumbs_up_mediumlight_skin_tone:,:thumbs_up_medium-light_skin_tone:
:backhand_index_pointing_down_mediumlight_skin_tone:,:backhand_index_pointing_down_medium-light_skin_tone:
:________:, 
:hashtagmartial_law:,hashtagmartial_law
:hashtagTCPH_ANNOUNCEMENT:,hashtagTCPH_ANNOUNCEMENT
:hashtagFinney_Smith:,hashtagFinney_Smith
:hashtagELEKSYON_DISCUSSION:,hashtagELEKSYON_DISCUSSION
__, 
:OK_hand_mediumlight_skin_tone:,:OK_hand_medium-light_skin_tone:
fire,:fire:
:raising_hands_mediumlight_skin_tone:,:raising_hands_medium-light_skin_tone:
:clapping_hands_mediumlight_skin_tone:,:clapping_hands_medium-light_skin_tone:
:rightfacing_fist:,:right-facing_fist:
:leftfacing_fist:,:left-facing_fist:
:speaknoevil_monkey:,:speak-no-evil_monkey:
:backhand_index_pointing_down_mediumdark_skin_tone:,:backhand_index_pointing_down_medium-dark_skin_tone:
:raised_fist_mediumlight_skin_tone:,:raised_fist_medium-light_skin_tone:
:upright_arrow:,:up-right_arrow:
:zippermouth_face:,:zipper-mouth_face:
crown,:crown:
:moneymouth_face:,:money-mouth_face:
:rolledup_newspaper:,:rolled-up_newspaper:
:_______:, 
:woman_shrugging_mediumlight_skin_tone:,:woman_shrugging_medium-light_skin_tone:
:woman_facepalming_mediumdark_skin_tone:,:woman_facepalming_medium-dark_skin_tone:
:   _:, 
_, 
